1,director1@tech.com,director,1
2,accountant1@tech.com,accountant,2
3,accountant2@tech.com,accountant,2
4,chief_accountant1@tech.com,chief_accountant,2
5,hr_manager1@tech.com,hr_manager,2
6,employee1@tech.com,employee,3
7,employee2@tech.com,employee,3
8,employee3@tech.com,employee,3
9,employee4@tech.com,employee,3
10,employee5@tech.com,employee,3
11,employee6@tech.com,employee,3
12,employee7@tech.com,employee,3
13,employee8@tech.com,employee,3
14,employee9@tech.com,employee,3
15,employee10@tech.com,employee,3
